"week_end","article_date","asset","title","description","summary","publisher","url","query","query_rank","gnews_rank"
"2014-01-03","2013-12-30","TNX","Home-price surge may ease in 2014, but interest rates will pinch many buyers - The Seattle Times","Home-price surge may ease in 2014, but interest rates will pinch many buyers The Seattle Times","Home-price surge may ease in 2014, but interest rates will pinch many buyers The Seattle Times","The Seattle Times","https://news.google.com/rss/articles/CBMitAFBVV95cUxOSlJUSTNvSjNzWXl2N0F0eEpGU3JyN2k2ZkNLOEdscUluX3ZfTnhJZ0dMMVhMdjhvLXVQSm52VDBaRE1NSzVDckp2WUdGcjd0OFpoeGNjTlNmTGxuSUdtdExuQnVJTkdnMGRhVFlscExJRXh4RkZqSm13aEpsczV0WEVVZFdyNVV6alI1cGN2UjZxUmxoYUpCRGE0MW5vRVlOOXU3ZUl4VFplT3JtSHU5UTdGN2Q?oc=5&hl=en-US&gl=US&ceid=US:en","interest rates","6","1"
"2014-01-10","2014-01-08","TNX","Low interest rates boost home building - SBS Australia","Low interest rates boost home building SBS Australia","Low interest rates boost home building SBS Australia","SBS Australia","https://news.google.com/rss/articles/CBMijAFBVV95cUxOY0dOZVpLY1FJR3hFS0VfYzhJeWxUU2cwVGFyTFRYR1hIMUtyUjFlN1Zhcjk2Y2tEeEFLTjRXN0JlWDZTeW5HSjBDeURyenZTZWxwckR0THFnN2drT2Z4VFk3Wk9fbEJjT1dJRVdfQ2RaTzFlSHRocUw4d0lkWC11SWgxb3JvQjZwU2pBZw?oc=5&hl=en-US&gl=US&ceid=US:en","interest rates","6","9"
"2014-01-17","2014-01-15","TNX","Solar Securitization - RMI","Solar Securitization RMI","SharesSolar SecuritizationAt the end of November, SolarCity issued the first publicly known solar asset-backed securitization (ABS), selling $54 million of bundled cash payments. Understanding the future of solar securitization by looking at the pastAt this point, we should be asking what these two milestones have done for consumers looking to purchase solar. Standardized TermsThe solar industry is organizing to accomplish this goal with the help of NREL’s Solar Access to Public Capital (SAPC) initiative. Like the standard terms, this is also tedious work with immensely high stakes: currently, it looks like the commercial solar market will be significantly lower in 2013 than it was in 2012, while residential solar continues healthy growth. A Securitized Solar FutureSolarCity’s exciting issuance of a solar asset-backed securitization opens another door to low-cost public capital.","RMI","https://rmi.org/blog_2014_01_15_solar_securitization/","10-year Treasury yield","1","1"
"2014-01-24","2014-01-24","TNX","Mortgage Rates compared to Ten Year Treasury Yield and Refinance Activity - calculatedriskblog.com","Mortgage Rates compared to Ten Year Treasury Yield and Refinance Activity calculatedriskblog.com","Mortgage Rates compared to Ten Year Treasury Yield and Refinance Activity calculatedriskblog.com","calculatedriskblog.com","https://news.google.com/rss/articles/CBMiiwFBVV95cUxNc1hJd09NUWdLTjFzX2ZZbzlOei1OejZIWVZ3MlhFdTNEM1V6eFFNWUhGbENiak1jdmNWUFA3VEFJRUhOOXNpeWpkVHhwY05DWmVRclA3aEt0T2MzQ0t6aXc5aUxUVlpndnhKUV9jXzZja3hNNWQ5MXEySF9LeDhSZEJFVHJhLTlPZDE0?oc=5&hl=en-US&gl=US&ceid=US:en","10-year Treasury yield","1","1"
"2014-01-31","2014-01-30","TNX","Yield Curve Key to Interest Rate Risk Management - Credit Union Times","Yield Curve Key to Interest Rate Risk Management Credit Union Times","Yield Curve Key to Interest Rate Risk Management Credit Union Times","Credit Union Times","https://news.google.com/rss/articles/CBMijAFBVV95cUxNZGtkWmNKcGx6bmd4amw4RFhFbkc1azVEX1c2Q2JXcVJPaVFqWXpoV0k3dGQySFBGaksxQm1zMTFlbElWbGdkOWFmNFJGVzhtUVFtdFFySE93STFWelRVQ2dJMXk0VHdCaFYxMzdJbmgzaHZIaml6eS1IRWdTUEdNbFllQjBUbjJmVEVvbtIBkgFBVV95cUxQelJuWDh2T25wSnZ5MTJINlNHeE1pVDV2cjhuLUZDTGhQOEFxVkRNWm5JYkwyV3FkZ3Awd1BtOTFHd3BjWlJ1Yndad0JKZGttX1Q2V2tJN0twb3JYandQTlVOUzhJUTdqWXRrbl9VQXVGY1pBNHViSEVCNjJXMC1uOF9vLXZqank0d0ZGbjFyQjF0dw?oc=5&hl=en-US&gl=US&ceid=US:en","yield curve","4","1"
"2014-02-07","2014-02-07","TNX","This Is the Number One Factor Driving the Price of Gold - financialsense.com","This Is the Number One Factor Driving the Price of Gold financialsense.com","This Is the Number One Factor Driving the Price of Gold financialsense.com","financialsense.com","https://news.google.com/rss/articles/CBMimgFBVV95cUxPVnFjX0NCTHVwdGo0U3lKTl94amxsaFU3bjh4eW5GcG9IU0U0ZmNwX2NveTAtT2xHVUJpMndzQWpaSXJVcjJTMFR6SFlpUUpyaVBha2ZDMVVGWGVpRERQeUEwUEdNYi0yUHBiN2ZYX2lVbW5qTVJ1My1YUWxGT1ZMVlg2TTRlSTR2OVFVeTQwZ2pIN3YzLTZsZTRB?oc=5&hl=en-US&gl=US&ceid=US:en","10-year Treasury yield","1","1"
"2014-02-14","2014-02-11","TNX","The Transformation of Banking: Tying Loan Interest Rates to Borrowers' Credit Default Swap Spreads - Liberty Street Economics","The Transformation of Banking: Tying Loan Interest Rates to Borrowers' Credit Default Swap Spreads Liberty Street Economics","João A. C. SantosBanks’ practice of tying loan interest rates to borrowers’ credit default swap (CDS) spreads constitutes one of the most recent financial innovations. Market-based pricing also has the potential to lower the cost of bank credit because it protects banks against increases in borrowers’ default risk. In my paper with Ivanov and Vo, we find that banks charge lower interest rates at origination when they tie loan spreads to borrowers’ CDS spreads. The transformation of lending that has arisen from banks’ pricing loans off borrowers’ CDS spreads has several potential implications. This outcome could, in turn, lead to further increases in borrowers’ CDS spreads and another wave of increases in the cost of bank credit.","Liberty Street Economics","https://libertystreeteconomics.newyorkfed.org/2014/02/the-transformation-of-banking-tying-loan-interest-rates-to-borrowers-credit-default-swap-spreads/","interest rates","6","2"
"2014-02-21","2014-02-18","TNX","Economy tracker: Interest rates - BBC","Economy tracker: Interest rates BBC","Economy tracker: Interest rates BBC","BBC","https://news.google.com/rss/articles/CBMiV0FVX3lxTE51U1UwVVg1M1hNTjAtZk5Oc01aVmNMWG1YcGVWWWk4YlQzVEN2a05LWTd4VTllejVWSTdBRXpHMHEwZUhhemkwblAyZXdiWmVWTGh1UGdqdw?oc=5&hl=en-US&gl=US&ceid=US:en","interest rates","6","5"
"2014-02-28","2014-02-27","TNX","Freddie Mac: Mortgage rates barely changed; 30-year fixed at 4.37% - Los Angeles Times","Freddie Mac: Mortgage rates barely changed; 30-year fixed at 4.37% Los Angeles Times","Freddie Mac: Mortgage rates barely changed; 30-year fixed at 4.37% Los Angeles Times","Los Angeles Times","https://news.google.com/rss/articles/CBMikgFBVV95cUxQeFUtbjVReGtQVnhpUmdWcUttRTg3NFBxN2lWa2xoemRpYWdFdGtyXzU4Wm54RHluU3RSeDhIQ09hWENXT0dyUFNZckJYUzJUWDZQRXVxZTZIV1QyaHl1d19HbXRuQW5BcENqY2R6QkswdjhFdTc5dE5ES1VkbFByTXRXNnJvWjMySEZZdlR6V3ExZw?oc=5&hl=en-US&gl=US&ceid=US:en","10-year Treasury yield","1","2"
"2014-03-07","2014-03-03","TNX","UK interest rates: a brief history - The Guardian","UK interest rates: a brief history The Guardian","UK interest rates: a brief history The Guardian","The Guardian","https://news.google.com/rss/articles/CBMingFBVV95cUxNa0FOTk02Rjc0c25uRUl0d3FVQ2tVUGpCMVFZdHNVWW1JdGRDNHdVUFhnQUl4UWJBV2Mxem9Wd1NKcUZqZEViUGVwaVVMSGZpcEE0TVBoUmJmMWQya245NE1wZWVkZEJhd1o0VGpIS2dYVHRoWE9iLXlfMTVlUVhNYVhOUnRhSlZJdlloVUJjTE5Ua3ROOC1WQ3ZjNXhsQQ?oc=5&hl=en-US&gl=US&ceid=US:en","Treasury yields","2","3"
