"week_end","article_date","asset","title","description","summary","publisher","url","query","query_rank","gnews_rank"
"2014-01-03","2014-01-03","TLT","Catastrophe bond markets total return 11% in 2013 - Artemis.bm","Catastrophe bond markets total return 11% in 2013 Artemis.bm","The total return of the outstanding catastrophe bond market in 2013 has beaten the long-term average for the second year running, with the 2013 total return reaching a very healthy 10.9%, as measured by the Swiss Re Global Cat Bond Performance Total Return index. 2013 saw cat bond total returns on an almost consistent upward trajectory, resulting in strong investment performance for catastrophe bond focused ILS funds and qualified investors directly buying cat bonds in 2013. We start with the Swiss Re Global Cat Bond Performance Price Return index, tracking the price return for all outstanding USD denominated cat bonds. Now let’s look at the Swiss Re Global Cat Bond Performance Total Return index, which tracks the total return of a basket of natural catastrophe bonds. The Swiss Re Global Cat Bond Total Return index launched at 100.00, at the end of 2013 it stood at 267.01.","Artemis.bm","https://www.artemis.bm/news/catastrophe-bond-markets-total-return-11-in-2013/","bond market","3","1"
"2014-01-10","2014-01-09","TLT","High bond-yield countries do badly on currency, stocks - Mint","High bond-yield countries do badly on currency, stocks Mint","High bond-yield countries do badly on currency, stocks Mint","Mint","https://news.google.com/rss/articles/CBMisAFBVV95cUxQQ0tLcFFTcHNaZVRDN01kUU9HZEhOTUZjYmhMQ095ekRTdURrNWFJc1VVdDBrZGlCeUtzNDNNTUpod2ZXLUxPWWFmNlBITms3eGhGWlh3NHhmZk95LUZBZVpuQWpPNE4zb1NvMmVuMVE2bkxhTmxua0FCVUp6MzNndUdrdjNZdWR1TTVQT3ptTUhUZ0xzQ3d2UG5VZWtnLWV0SkpNMF91QzNIaFN4Q0xxQdIBvgFBVV95cUxNY3pEY19rMzJmdEVodWp1eUZZQndqQU9pTFdjdkpJRXFZbUhSdm5QSGtCVFppTjU1cEdZbnBiWlBJcHRaUFZxQnF5VkRrWXE4Q2dHa1BJa1B3bFNYbDJQM1BreEhQQ3pqS3BlZ0dUa1M5aFJDUTBJRmF3M0NCckRjQTY3M19pbTZESWVuUFRvRVlCQTNoWkluZ0E4ZWhBRmJJZmNvMGEwclZYOTBIcjFXTzctZUZDWlF4RVM1Z2FB?oc=5&hl=en-US&gl=US&ceid=US:en","bond yields","2","5"
"2014-01-17","2014-01-16","TLT","Plenum launches leveraged cat bond strategy, new share classes - Artemis.bm","Plenum launches leveraged cat bond strategy, new share classes Artemis.bm","Zurich based catastrophe bond investment manager Plenum Investments is expanding its reach with the launch of a higher return leveraged cat bond investment strategy as well as new institutional and trailer fee clean retail share classes for the Plenum Cat Bond Fund. Plenum has teamed up with Swiss private banking group Julius Baer to create a leveraged cat bond investment opportunity. This is a smart way to provide a higher returning cat bond strategy to investors using a typical diversified cat bond portfolio. Separately, Plenum Investments has also launched new share classes for its Plenum Cat Bond Fund. It will be interesting to follow Plenum’s success with this leveraged cat bond fund approach.","Artemis.bm","https://www.artemis.bm/news/plenum-launches-leveraged-cat-bond-strategy-new-share-classes/","bond yields","2","3"
"2014-01-24","2014-01-24","TLT","Mortgage Rates compared to Ten Year Treasury Yield and Refinance Activity - calculatedriskblog.com","Mortgage Rates compared to Ten Year Treasury Yield and Refinance Activity calculatedriskblog.com","Mortgage Rates compared to Ten Year Treasury Yield and Refinance Activity calculatedriskblog.com","calculatedriskblog.com","https://news.google.com/rss/articles/CBMiiwFBVV95cUxNc1hJd09NUWdLTjFzX2ZZbzlOei1OejZIWVZ3MlhFdTNEM1V6eFFNWUhGbENiak1jdmNWUFA3VEFJRUhOOXNpeWpkVHhwY05DWmVRclA3aEt0T2MzQ0t6aXc5aUxUVlpndnhKUV9jXzZja3hNNWQ5MXEySF9LeDhSZEJFVHJhLTlPZDE0?oc=5&hl=en-US&gl=US&ceid=US:en","Treasury yields","1","1"
"2014-01-31","2014-01-30","TLT","ICI Fund Flow Survey - Equity Fund Follow Through...Fixed Income Flat Lines - Hedgeye","ICI Fund Flow Survey - Equity Fund Follow Through...Fixed Income Flat Lines Hedgeye","ICI Fund Flow Survey - Equity Fund Follow Through...Fixed Income Flat Lines Hedgeye","Hedgeye","https://news.google.com/rss/articles/CBMirwFBVV95cUxPcXMtUWtlYzE0ek9BTzRUVVlKaUdDc2ZpenFRMFd2Umcxc2pfOVA0eWQyQm5XVEI1NksyRkVmV2l3WVY3OHRqcFFNQk1DNnJvZnJ3QUJDMl9XazZxT0pXZGZ2Q3BnRnVxbGRjS3B3S01uTU1XcDZzVU5lS2l6cE13NmJ1MDFRQlJ0VWstazNHTENFQjF6TlJ6eVM3UDhIMkg2cExLRnl5RUVqVG5yUUtv?oc=5&hl=en-US&gl=US&ceid=US:en","bond market","3","4"
"2014-02-07","2014-02-04","TLT","Morgan Stanley Eyes Top Spot With Boost From Retail Network - Bond Buyer","Morgan Stanley Eyes Top Spot With Boost From Retail Network Bond Buyer","Morgan Stanley Eyes Top Spot With Boost From Retail Network Bond Buyer","Bond Buyer","https://news.google.com/rss/articles/CBMilAFBVV95cUxQclFNSldYMURRVjFBdVcxWUNGOVdLRkRKUmxRUFFDRmV6TmN4VWlWcnN1aDBjQ3U0YTVfVUFYb3Z3dm8tekl5NlVWenBIMjJjZ1NaUG5WQk50UjI0MU9Za2FQTXphSEt4emd4empiQjZUell4QUVYdVAwOFoyRkFpR3RLTVZRRFBEemVmWHN2c2JrX2pp?oc=5&hl=en-US&gl=US&ceid=US:en","bond yields","2","1"
"2014-02-14","2014-02-13","TLT","Zurich lifts attachment point of Lakeside Re III cat bond at reset - Artemis.bm","Zurich lifts attachment point of Lakeside Re III cat bond at reset Artemis.bm","Zurich Insurance Group has increased the attachment point of its most recent catastrophe bond transaction, Lakeside Re III Ltd., at the transactions annual reset on 1st January citing increased exposure of its reinsurance requirements. Based on the updated exposure data and a stated reinsurance report, while maintaining the expected loss of the reinsurance layer, the attachment point of the cover from Lakeside Re III has been lifted. While the attachment point may have risen the deal is just as risky as before, as the expected loss is supposed to be maintained during the reset. No change to the investors coupon will have been made in this case, rather the increase in attachment point simply reflects an increase in exposure while maintaining the expected loss of the cat bond notes. You can see Zurich’s updated reinsurance program, including where the Lakeside Re III catastrophe bond fits,","Artemis.bm","https://www.artemis.bm/news/zurich-lifts-attachment-point-of-lakeside-re-iii-cat-bond-at-reset/","bond market","3","3"
"2014-02-21","2014-02-18","TLT","Govt rolls out Rwf12.5bn Bond for infrastructure | The New Times - The New Times","Govt rolls out Rwf12.5bn Bond for infrastructure | The New Times The New Times","NationalGovt rolls out Rwf12.5bn Bond for infrastructureThe government yesterday kicked off a campaign to market its Rwf12.5 billion ($18.3 million) Treasury Bond to raise funds for infrastructure programmes and reinvigorate the bond market.","The New Times","https://www.newtimes.co.rw/article/103895/National/govt-rolls-out-rwf125bn-bond-for-infrastructure","bond market","3","7"
"2014-02-28","2014-02-25","TLT","What a bond bear market really looks like - MarketWatch","What a bond bear market really looks like MarketWatch","What a bond bear market really looks like MarketWatch","MarketWatch","https://news.google.com/rss/articles/CBMijwFBVV95cUxQM2ZjWGZ6elpSdWdKLXdKNkRTaUpBM1BkUXZucTYzcmNSUHhEWXpFSEtjdzNxQXNaaU1xalR1UG1WODJld0cxUGxSQXRNS3h2eEJKd1dYSHg0VDdfR21Dem1WdEhZQVNfTjlELXFvcExfVjFVM1RvRnoxeGM5bkFXX25MOG4zQkhnQ3B1UXpuNA?oc=5&hl=en-US&gl=US&ceid=US:en","Treasury yields","1","1"
"2014-03-07","2014-03-02","TLT","House of Cards' Frank Underwood Is Embarrassingly Ignorant About How Treasury Auctions Work - Slate Magazine","House of Cards' Frank Underwood Is Embarrassingly Ignorant About How Treasury Auctions Work Slate Magazine","House of Cards' Frank Underwood Is Embarrassingly Ignorant About How Treasury Auctions Work Slate Magazine","Slate Magazine","https://news.google.com/rss/articles/CBMiygFBVV95cUxQb1IxTC1WOUdpMDA4UmFCZWJPY3FpVmpxem9CUG1JUExMQU5KVnRNTW9FU0RlaHR4c05udTZZYU1PeksweFNiQm1GSVk1YkRzekFEQU9vMHB4aWZodW5nYjluMUg2RnFBN2lRMk5uY2J2blNiVF9xOElTQ1hFanljSU90QWxPWlllX2pPdDg2RFdvV0lnZjJzZTJTNWxmZTR5QTl5eTdZSkxNNFR5X0Z6QkxHSWF2VDYycloxTUZYN3IzbzVaYThBMDdR?oc=5&hl=en-US&gl=US&ceid=US:en","Treasury yields","1","1"
